minute,output
189,0.0002816332204065364
190,0.00031670312272643854
191,0.0003520923121208092
192,0.00038768183112224613
193,0.0004233527222633445
194,0.000458986028076702
195,0.0004944627910949156
196,0.0005296640538505824
197,0.0005644708588762993
198,0.0005987642487046631
199,0.0006324252658682717
200,0.0006653349528997202
201,0.0006973743523316068
202,0.0007284245066965278
203,0.0007583664585270805
204,0.0007870812503558619
205,0.0008144499247154689
206,0.0008403535241384981
207,0.0008646730911575478
208,0.0008872896683052129
209,0.0009080842981140913
210,0.0009269380231167801
211,0.0009437318858458759
212,0.0009583469288339758
213,0.0009706641946136766
214,0.000980564725717576
215,0.0009879295646782699
216,0.0009926397540283554
217,0.00099457633630043
218,0.00099362035402709
219,0.0009896528497409327
220,0.0009825548659745554
221,0.0009722074452605547
222,0.0009584916301315272
223,0.00094128846312007
224,0.0009204789867587797
225,0.0008959442435802548
226,0.0008675652761170902
227,0.0008352231269018839
228,0.000798798838467233
229,0.0007581734533457325
230,0.0007132280140699832
231,0.0006638435631725792
232,0.000609901143186117
233,0.0005512817966431961
234,0.000487866566076411
235,0.00041953649401835994
236,0.0003461726230016399
237,0.0002676559955588453
238,0.00018386765422257617
239,9.468864152542902e-05
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.00037428192106300794
302,0.000769301567267886
303,0.0011847911803222642
304,0.0016204830019337735
305,0.0020761092738100437
306,0.002551402237658705
307,0.003046094135187388
308,0.003559917208103751
309,0.004092603698115369
310,0.0046438858469299
311,0.005213495896254973
312,0.00580116608779822
313,0.00640662866326727
314,0.007029615864369755
315,0.007669859932813303
316,0.008327093110305547
317,0.009001047638554114
318,0.009691455759266636
319,0.010398049714150745
320,0.011120561744914067
321,0.011858724093264236
322,0.012612269000908881
323,0.013380928709555675
324,0.014164435460912164
325,0.014962521496686023
326,0.01577491905858488
327,0.01660136038831636
328,0.017441577727588097
329,0.018295303318107727
330,0.019162269401582877
331,0.02004220821972117
332,0.020934852014230253
333,0.021839933026817734
334,0.02275718349919126
335,0.023686335673058462
336,0.024627121790126955
337,0.025579274092104386
338,0.026542524820698424
339,0.027516606217616608
340,0.028501250524566615
341,0.029496189983256062
342,0.030501156835392604
343,0.03151588332268385
344,0.03254010168683745
345,0.03357354416956101
346,0.03461594301256219
347,0.035667030457548585
348,0.03672653874622786
349,0.037794200120307625
350,0.038869746821495514
351,0.03995291109149915
352,0.041043425172026186
353,0.04214102130478429
354,0.04324543173148098
355,0.04435638869382395
356,0.04547362443352083
357,0.04659687119227924
358,0.047725861211806817
359,0.0488603267338112
360,0.05
361,0.05114476240046415
362,0.05229509191882766
363,0.053451615687097866
364,0.05461496083728207
365,0.055785754501387584
366,0.056964623811421713
367,0.058152195899391794
368,0.059349097897305185
369,0.06055595693716907
370,0.06177340015099085
371,0.06300205467077781
372,0.06424254762853729
373,0.06549550615627657
374,0.06676155738600299
375,0.06804132844972385
376,0.06933544647944648
377,0.07064453860717818
378,0.07196923196492624
379,0.07331015368469802
380,0.07466793089850082
381,0.07604319073834194
382,0.07743656033622869
383,0.07884866682416847
384,0.08028013733416844
385,0.08173159899823601
386,0.08320367894837845
387,0.08469700431660311
388,0.08621220223491727
389,0.08774989983532828
390,0.08931072424984343
391,0.09089530261047003
392,0.0925042620492154
393,0.09413822969808687
394,0.09579783268909173
395,0.09748369815423731
396,0.0991964532255309
397,0.10093672503497984
398,0.10270514071459153
399,0.10450232739637308
400,0.10632891221233193
401,0.10818552229447535
402,0.1100727847748107
403,0.11199132678534526
404,0.11394177545808636
405,0.11592475792504128
406,0.11794090131821738
407,0.11999083276962194
408,0.12207517941126231
409,0.12419456837514574
410,0.1263496267932796
411,0.1285409817976712
412,0.13076926052032783
413,0.13303509009325692
414,0.13533909764846558
415,0.1376819103179612
416,0.14006415523375113
417,0.14248645952784264
418,0.1449494503322431
419,0.14745375477895978
420,0.15
421,0.15258856662522852
422,0.15521884927593996
423,0.1578899960712862
424,0.1606011551304193
425,0.16335147457249136
426,0.16614010251665426
427,0.16896618708206007
428,0.1718288763878609
429,0.1747273185532085
430,0.17766066169725503
431,0.1806280539391524
432,0.18362864339805274
433,0.186661578193108
434,0.18972600644347018
435,0.19282107626829129
436,0.1959459357867233
437,0.19909973311791831
438,0.20228161638102826
439,0.20549073369520512
440,0.20872623317960096
441,0.21198726295336778
442,0.21527297113565758
443,0.2185825058456225
444,0.2219150152024142
445,0.22526964732518492
446,0.22864555033308664
447,0.2320418723452713
448,0.235457761480891
449,0.2388923658590977
450,0.2423448335990434
451,0.24581431281988012
452,0.24929995164075988
453,0.2528008981808347
454,0.2563163005592564
455,0.25984530689517726
456,0.26338706530774914
457,0.26694072391612406
458,0.2705054308394542
459,0.27408033419689126
460,0.2776645821075873
461,0.2812573226906944
462,0.2848577040653647
463,0.28846487435074997
464,0.2920779816660024
465,0.2956961741302739
